QtrNum,Force Name,Region,Financial Year,Financial Quarter,Population,Knife enabled,Violence with Injury,Homicide and serious injury,Knife Crime,RateKE,RateVWI,RateKC,ZScoreKE,ZScoreVWI,ZScoreKC
26,West Midlands,West Midlands,2014/15,Q2,2864.925,206,186,12,404,0.719041511,0.649231655,1.410159079,0.917204818,0.166450811,0.648476343
32,Essex,East,2015/16,Q4,1802.164,82,164,8,254,0.455008534,0.910017068,1.409416679,0.226646303,0.980177009,0.647348642
3,West Yorkshire,Yorkshire,2008/09,Q3,2299.673,160,158,6,324,0.695751092,0.687054203,1.40889596,0.856290468,0.28446814,0.646557675
29,Nottinghamshire,East Midlands,2015/16,Q1,1135.992,52,105,3,160,0.457749702,0.924302284,1.408460623,0.233815624,1.024751028,0.6458964
22,West Midlands,West Midlands,2013/14,Q2,2864.925,218,175,10,403,0.760927424,0.610836235,1.406668586,1.026754294,0.046645953,0.64317431
18,Greater Manchester,North West,2012/13,Q2,2782.141,196,193,2,391,0.70449341,0.693710348,1.405392466,0.879155348,0.305237244,0.641235892
43,Avon and Somerset,South West,2018/19,Q3,1680.715,98,130,8,236,0.583085175,0.773480334,1.404164299,0.561621185,0.55414276,0.639370315
36,Hertfordshire,East,2016/17,Q4,1176.72,55,106,4,165,0.467400911,0.900809028,1.402202733,0.259057639,0.951445251,0.636390711
27,Merseyside,North West,2014/15,Q3,1406.447,78,115,4,197,0.554588975,0.817663232,1.400692667,0.487091503,0.692006229,0.634096932
28,West Yorkshire,Yorkshire,2014/15,Q4,2299.673,161,158,3,322,0.700099536,0.687054203,1.400199072,0.867663499,0.28446814,0.633347164
6,Cleveland,North East,2009/10,Q2,564.3,8,71,0,79,0.141768563,1.258195995,1.399964558,-0.592609429,2.066596341,0.632990939
21,Greater Manchester,North West,2013/14,Q1,2782.141,226,156,7,389,0.812324034,0.560719245,1.398203757,1.161178285,-0.109733606,0.630316296
17,West Midlands,West Midlands,2012/13,Q1,2864.925,230,164,6,400,0.802813337,0.572440814,1.396197108,1.136303769,-0.073158906,0.62726821
9,West Yorkshire,Yorkshire,2010/11,Q1,2299.673,146,171,4,321,0.634872871,0.743583979,1.395850627,0.697068033,0.460857453,0.626741909
43,Kent,South East,2018/19,Q3,1820.435,73,177,4,254,0.401003057,0.972295083,1.395270911,0.085399014,1.174502496,0.625861323
28,Merseyside,North West,2014/15,Q4,1406.447,62,132,2,196,0.440827134,0.938535188,1.393582552,0.189555911,1.069161822,0.623296719
13,Northamptonshire,East Midlands,2011/12,Q1,733.128,38,59,5,102,0.51832695,0.80477079,1.391298655,0.392250887,0.651778067,0.619827495
37,Thames Valley,South East,2017/18,Q1,2379.191,112,216,3,331,0.47074825,0.907871625,1.391229204,0.267812354,0.973482604,0.619721999
